trial,stimulus1,stimulus2,time_stamp_sound1,time_stamp_KBhit1,time_stamp_start_stim1,time_stamp_start_isi,time_stamp_start_stim2,time_stamp_KBhit2,KB_hit2_key
1,AF07NEHR.JPG,AF30HAHL.JPG,173660.3857148,173663.7479336,173663.8012079,173664.8063537,173666.8659332,173674.6608937,74
2,AM09HAS.JPG,AM09NEHL.JPG,173676.6720192,173683.0769798,173683.0885948,173684.094212,173686.1235824,173695.6239276,70
3,AF21HAS.JPG,AF23NEHR.JPG,173697.6318021,173700.822955,173700.8274952,173701.832819,173703.8501633,173711.7862906,70
4,AF06HAHR.JPG,AF08NEHL.JPG,173713.7917683,173717.7031139,173717.7073119,173718.7111017,173720.7280322,173722.3143624,70
5,AF29HAHL.JPG,AF29NEHR.JPG,173724.3219407,173717.7031139,173717.7073119,173730.653502,173732.6714053,173736.8126162,74
6,AM32NEHL.JPG,AM16HAHR.JPG,173738.819391,173740.8273866,173740.8316538,173741.8356736,173743.8522565,173745.1671683,74
7,AF26NEHL.JPG,AF01HAHR.JPG,173747.1716934,173751.2791276,173751.283202,173752.2872757,173754.3027881,173755.9327945,74
8,AM22NEHR.JPG,AM22HAHL.JPG,173757.937268,173763.6966891,173763.7005619,173764.7042145,173766.7206342,173768.3340559,74
9,AM30HAHL.JPG,AM30NEHR.JPG,173770.3389604,173763.6966891,173763.7005619,173770.7890655,173772.805929,173777.1239724,74
10,AF14HAS.JPG,AF14NEHR.JPG,173779.1285494,173781.5227421,173781.5271597,173782.5306439,173784.548751,173786.2749799,74
